artistID,artistName,Genres,Popularity,Image URL
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
6O5k8LLRfDK8v9jj1GazAQ,Nubya Garcia,"british jazz, indie soul",42,https://i.scdn.co/image/ab6761610000e5ebcc54044c371ab617c1b625bb
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
2mVVjNmdjXZZDvhgQWiakk,Khruangbin,"indie soul, neo-psychedelic, world",73,https://i.scdn.co/image/ab6761610000e5eba63dfeecf7c8d2acf3eeee6b
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
2upjmNmngAXZcra9dQRR2l,Cut Worms,modern psychedelic folk,39,https://i.scdn.co/image/ab6761610000e5eb38cafd24aa1773cb65362a4e
7fgs0Ym1ukMZDgKjx8mbMe,fantasy of a broken heart,nyc indie rock,30,https://i.scdn.co/image/ab6761610000e5eb24da8a4d714125da8ae0bd24
0xliTEbFfy5HQHvsTknTkX,Alphaville,"new romantic, new wave pop, synthpop",75,https://i.scdn.co/image/ab6761610000e5eb3f8779bb1c97be855c6b51a8
2mVVjNmdjXZZDvhgQWiakk,Khruangbin,"indie soul, neo-psychedelic, world",73,https://i.scdn.co/image/ab6761610000e5eba63dfeecf7c8d2acf3eeee6b
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7
