albumID,artistID,trackID,Track,Albums,Artist(s),Popularity,Image URL,time_range,Rank
4NldodakYXDeK7OoEe2oBW,4TMHGUX5WI7OOm53PqSDAT,6jzd25vDUfpbE6Z6KQnaD9,"Don't Ease Me In - Live at Harpur College, Binghamton, NY, May 2, 1970","Dick's Picks Vol. 8: Harpur College, Binghamton, NY 5/2/70 (Live)",Grateful Dead,24,https://i.scdn.co/image/ab67616d0000b273ec54d02a29206c4e49c20a5c,short_term,32
7hTmy5ipq0ieK4DZZqaxml,2mVVjNmdjXZZDvhgQWiakk,6sjxTY1gPbZXoF2h6YLZ9N,Lady and Man,Con Todo El Mundo,Khruangbin,45,https://i.scdn.co/image/ab67616d0000b273bcee8e2aa4ded86f18661153,short_term,33
7a341nZsSfwyBsq1tMPETz,6ZFv3wQwwWPiVDWhv0mjQK,78idK1ANg6tbO8d67GD09B,Country Road,Funky Kingston,Toots & The Maytals,55,https://i.scdn.co/image/ab67616d0000b273c791c7423d7b3b9f02fb093a,short_term,34
1dixWE0mC52gWtjmM55Icf,6mG7RLvtGBHIg4jdb8urYb,7ClMs9zEkVsMcPjU3jgcIM,Triple Bypass In B-Flat,Scheduled Explosions,2nd Grade,26,https://i.scdn.co/image/ab67616d0000b273f84047cc5c054b450dfe642a,short_term,35
5xnXOCf5aZgZ43DgGN4EDv,59oA5WbbQvomJz2BuRG071,7j3zZ2jAjzFD60UjhldhHo,I've Been In Love,Volcano,"Jungle, Channel Tres",71,https://i.scdn.co/image/ab67616d0000b27377619f14cb03e11baf5761d1,short_term,36
5BwjVdVJ4aOmbIYomznfCv,4TMHGUX5WI7OOm53PqSDAT,3PgIhd4XmwtmV2XGU5qhzZ,Franklin's Tower - 2013 Remaster,Blues for Allah (2013 Remaster),Grateful Dead,50,https://i.scdn.co/image/ab67616d0000b2730d092737cda384640b354d8e,short_term,37
2i6NKvLSPRQVyBwmq7ASGG,3TaLdYu9rA6H364ROYMmvF,0s8oozkyTv41S3itVUKCwk,American Standard,American Standard,Uniform,27,https://i.scdn.co/image/ab67616d0000b2730ecbe1ca1d6aa95c5257cec4,short_term,38
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,15jK8JOtgxmA7bQffM93nO,"Space - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,14,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,short_term,39
3KVZRUDRORLggjVQZ8rO97,34RGl0uVjzk6plsyUDTssq,2xIi3ezD0Kgb0mgoJzv2Ps,Mental Projection,"Beta Waves: 13 Hz – 30 Hz, Binaural Beats, Music for Focus, Memory & Concentration","Brain Waves Therapy, Meditation Music Zone",33,https://i.scdn.co/image/ab67616d0000b27370a9abe08ece3e31503388bb,short_term,40
14BFEPRu1ERewCV8dhRQ6R,3qDRMLjIJnZoyoG1E2ESNQ,3be8sJecEQXeQywcOuON4D,Fluresence - Mixed,DJ-Kicks (Peggy Gou) [DJ Mix],Spacetime Continuum,21,https://i.scdn.co/image/ab67616d0000b273e152b1a98e4cca94fbe742e7,short_term,41
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,3ikCkeFFvLIj5ux5sYTyeQ,"Rhythm Devils - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,16,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,short_term,42
2ZYhM0LXHZ38te98EizcQW,0mWrp0C4ShdOjs7P29Gzan,3tkftcdXeI7mSLY2hO19aR,Gold Chain Punk (whogonbeatmyass?),Diaspora Problems,Soul Glo,35,https://i.scdn.co/image/ab67616d0000b273f0d7c2b2353888a0a706dfcb,short_term,43
3Uv1wX43qb3tS7QpnwKDK4,3GuRlBzwPIbV7uOnIpS56l,5p01l51zxxWPHIIXjLm6BI,A Call To You,The Art Gray Noizz Quintet,Art Gray Noizz Quintet,2,https://i.scdn.co/image/ab67616d0000b273330f2468c5a2277339a32472,short_term,45
2AcvZWw1FChTyVBDnmqHgs,5gIjFEuYv6Ag7nHV6EJM4h,6FaRP4WLAIJeoDvNQEyrQK,The Mogster Mash,The Mogster Mash,Elliot Cox,12,https://i.scdn.co/image/ab67616d0000b273959094e8b1eec9e252c40805,short_term,46
1vyp1PXvxc1TlfuxrzpY6f,6Af4zImb75tO0LxOAEdUI1,6N4b7QiaaCdPlO82xvn3Hg,Corners,Corners,LEYA,28,https://i.scdn.co/image/ab67616d0000b27382752d84ab5b4f8ef35c0c77,short_term,47
1dixWE0mC52gWtjmM55Icf,6mG7RLvtGBHIg4jdb8urYb,6YcHKOWjUJ1mZNC9lWEBLt,I Wanna Be On Your Mind,Scheduled Explosions,2nd Grade,23,https://i.scdn.co/image/ab67616d0000b273f84047cc5c054b450dfe642a,short_term,48
4sD8WQQ8f1x3L4YFa9qFIO,3HJIB8sYPyxrFGuwvKXSLR,6Zgd7SomLTZkL1WPh4CUnV,Wolf Like Me,Return To Cookie Mountain,TV On The Radio,62,https://i.scdn.co/image/ab67616d0000b2739a9c25a9f9f7adb419694a4b,short_term,49
32MaUU5gk5Ig0nHC9G5VNX,2mVVjNmdjXZZDvhgQWiakk,0jaFQzTV7zKwuys2YGLpaC,People Everywhere (Still Alive),The Universe Smiles Upon You,Khruangbin,67,https://i.scdn.co/image/ab67616d0000b273e08ee206ad63148105336a19,short_term,50
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,1tiHWzoKdkjKx1UwZ5iYQu,"Bertha - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,28,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,medium_term,1
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,5SAGUw3RI0NdwNuDB0irjv,"Morning Dew (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,22,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,medium_term,2
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,7iNfYAuMmXDiOt85R3Ro2C,"Dire Wolf - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,26,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,medium_term,3
0vwIHq1DdPfoNGoqQDeYwk,3QDaXfnxfQqqJQK5lSdjLN,7eHK8VKhJP0Go8qzAOjWZ0,Deep Elem Blues - Live,"Pure Jerry: Marin Veteran's Memorial Auditorium, San Rafael, California, February 28, 1986","Jerry Garcia, John Kahn",12,https://i.scdn.co/image/ab67616d0000b27377d87aad9893799727827b38,medium_term,4
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,4mVNePT70YA5m8IYbWdkAU,"El Paso - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,22,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,medium_term,5
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,4rlVFpcNgQNEM43aHs5QaJ,"Good Lovin' - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,23,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,medium_term,6
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,62Fn4bxzMADOJF7JaqIzMA,"Deal - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,21,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,medium_term,7
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,5GYZPktpbEb1rJu70WGWOc,"New Minglewood Blues - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,21,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,medium_term,8
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,5tbNLKoo87WkqwvBHfUKeC,"It Must Have Been the Roses - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,23,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,medium_term,9
1PeC1ckDJSzYHkwo6JHbP2,2mVVjNmdjXZZDvhgQWiakk,5yVGW2o9LXaiiS4I3HUM3k,May Ninth,A LA SALA,Khruangbin,66,https://i.scdn.co/image/ab67616d0000b2733854b553506134a1421ed58c,medium_term,10
4HFO9PDRxsdbcegkcNhxgz,2mVVjNmdjXZZDvhgQWiakk,24ntSW3QVJzR79lHAAOTaY,Texas Sun,Texas Sun,"Khruangbin, Leon Bridges",73,https://i.scdn.co/image/ab67616d0000b273ff26bd277274b27f249cc638,medium_term,11
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,2C4h5x1lwt6AJ0F8VM5UGi,"Ship of Fools - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,21,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,medium_term,12
32MaUU5gk5Ig0nHC9G5VNX,2mVVjNmdjXZZDvhgQWiakk,7g18n5nxV5ep8ugBR3BmHD,White Gloves,The Universe Smiles Upon You,Khruangbin,63,https://i.scdn.co/image/ab67616d0000b273e08ee206ad63148105336a19,medium_term,13
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,36YMvdOuc38tQt57yDxF3v,"Samson and Delilah - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,21,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,medium_term,14
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,05Q7mrOv3ed7lqbiFuqc2V,"Estimated Prophet - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,22,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,medium_term,15
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,3brSFwO1uYW3yucRJC7uDF,"Ramble on Rose - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,24,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,medium_term,16
